lokasi;LT;LB;KT;KM;listrik;garasi_carport;harga
Kabupaten Bogor;125;125;3;2;2200;Ada;1946600000
Kabupaten Bogor;97;72;3;2;2200;Ada;1230000000
Kabupaten Bogor;72;33;2;1;1300;Ada;617000000
Kabupaten Bogor;60;30;2;1;1300;Ada;500000000
Kota Bogor;312;70;4;2;2200;Ada;250000000
Kabupaten Bogor;105;70;3;2;1300;Tidak ada;679000000
Kabupaten Bogor;112;129;3;3;3500;Tidak ada;1800000000
Kabupaten Bogor;60;50;2;1;2200;Tidak ada;850000000
Kota Bogor;162;51;2;1;2200;Ada;1350000000
Kota Bogor;120;90;5;3;2200;Ada;1000000000
Kabupaten Bogor;200;170;2;1;1300;Tidak ada;500000000
Kabupaten Bogor;60;40;2;1;1300;Ada;450000000
Kota Bogor;90;79;3;2;2200;Ada;800000000
Kota Bogor;60;63;2;2;2200;Ada;593000000
Kabupaten Bogor;60;39;2;1;2200;Ada;671000000
Kabupaten Bogor;75;45;2;2;1300;Ada;467600000
Kabupaten Bogor;50;36;2;1;1300;Ada;200000000
Kabupaten Bogor;78;45;2;1;1300;Ada;310000000
Kabupaten Bogor;72;45;2;2;2200;Ada;820000000
Kabupaten Bogor;84;36;2;1;1300;Ada;599000000
Kabupaten Bogor;699;350;5;5;3500;Ada;7300000000
Kabupaten Bogor;120;70;3;3;2200;Ada;1538200000
Kabupaten Bogor;60;50;3;2;2200;Ada;891500000
Kabupaten Bogor;60;40;2;1;2200;Ada;811400000
Kabupaten Bogor;60;60;2;1;900;Ada;420000000
Kabupaten Bogor;72;62;3;2;2200;Ada;800000000
Kabupaten Bogor;60;30;2;1;1300;Ada;241000000
Kabupaten Bogor;66;36;2;1;1300;Ada;390000000
Kabupaten Bogor;60;36;2;1;1300;Ada;379000000
Kota Bogor;314;300;4;4;3500;Ada;2900000000
Kabupaten Bogor;1272;500;4;5;5500;Ada;15000000000
Kota Bogor;90;72;3;2;2200;Ada;800000000
Kota Bogor;90;48;2;2;2200;Ada;600000000
Kabupaten Bogor;338;250;4;3;3500;Ada;3700000000
